method,trait,r,question_idx,judge_coherence,judge_concept
D1,impolite,0.8,2,20.0,0.0
D1,impolite,0.8,3,50.0,60.0
D1,impolite,0.8,4,0.0,0.0
D1,impolite,0.8,5,10.0,60.0
D1,impolite,0.8,6,10.0,0.0
D1,impolite,0.8,7,20.0,0.0
D1,impolite,0.8,8,0.0,0.0
D1,impolite,0.8,9,0.0,0.0
D1,impolite,1.0,0,0.0,0.0
D1,impolite,1.0,1,0.0,50.0
D1,impolite,1.0,2,20.0,100.0
D1,impolite,1.0,3,0.0,0.0
D1,impolite,1.0,4,0.0,0.0
D1,impolite,1.0,5,0.0,80.0
D1,impolite,1.0,6,0.0,0.0
D1,impolite,1.0,7,0.0,0.0
D1,impolite,1.0,8,0.0,0.0
D1,impolite,1.0,9,0.0,0.0
D4,impolite,0.05,0,100.0,0.0
D4,impolite,0.05,1,100.0,0.0
D4,impolite,0.05,2,100.0,0.0
D4,impolite,0.05,3,100.0,0.0
D4,impolite,0.05,4,85.0,0.0
D4,impolite,0.05,5,100.0,0.0
D4,impolite,0.05,6,100.0,0.0
D4,impolite,0.05,7,100.0,0.0
D4,impolite,0.05,8,100.0,0.0
D4,impolite,0.05,9,100.0,0.0
D4,impolite,0.1,0,90.0,0.0
D4,impolite,0.1,1,90.0,0.0
D4,impolite,0.1,2,85.0,0.0
D4,impolite,0.1,3,90.0,0.0
D4,impolite,0.1,4,60.0,0.0
D4,impolite,0.1,5,100.0,0.0
D4,impolite,0.1,6,90.0,0.0
D4,impolite,0.1,7,100.0,0.0
D4,impolite,0.1,8,90.0,0.0
D4,impolite,0.1,9,100.0,0.0
D4,impolite,0.15,0,100.0,0.0
D4,impolite,0.15,1,85.0,0.0
D4,impolite,0.15,2,90.0,0.0
D4,impolite,0.15,3,85.0,20.0
D4,impolite,0.15,4,50.0,0.0
D4,impolite,0.15,5,100.0,0.0
D4,impolite,0.15,6,100.0,0.0
D4,impolite,0.15,7,90.0,0.0
D4,impolite,0.15,8,100.0,0.0
D4,impolite,0.15,9,85.0,0.0
D4,impolite,0.2,0,60.0,70.0
D4,impolite,0.2,1,90.0,0.0
D4,impolite,0.2,2,90.0,0.0
D4,impolite,0.2,3,75.0,30.0
D4,impolite,0.2,4,40.0,0.0
D4,impolite,0.2,5,75.0,0.0
D4,impolite,0.2,6,85.0,0.0
D4,impolite,0.2,7,100.0,0.0
D4,impolite,0.2,8,95.0,0.0
D4,impolite,0.2,9,100.0,0.0
D4,impolite,0.4,0,100.0,70.0
D4,impolite,0.4,1,40.0,0.0
D4,impolite,0.4,2,100.0,0.0
D4,impolite,0.4,3,70.0,30.0
D4,impolite,0.4,4,20.0,0.0
D4,impolite,0.4,5,40.0,10.0
D4,impolite,0.4,6,40.0,0.0
D4,impolite,0.4,7,40.0,0.0
D4,impolite,0.4,8,40.0,0.0
D4,impolite,0.4,9,40.0,20.0
D4,impolite,0.6,0,20.0,90.0
D4,impolite,0.6,1,20.0,100.0
D4,impolite,0.6,2,100.0,70.0
D4,impolite,0.6,3,50.0,90.0
D4,impolite,0.6,4,20.0,60.0
D4,impolite,0.6,5,20.0,80.0
D4,impolite,0.6,6,10.0,0.0
D4,impolite,0.6,7,30.0,85.0
D4,impolite,0.6,8,10.0,0.0
D4,impolite,0.6,9,10.0,0.0
D4,impolite,0.8,0,0.0,100.0
D4,impolite,0.8,1,0.0,0.0
D4,impolite,0.8,2,10.0,0.0
D4,impolite,0.8,3,30.0,80.0
D4,impolite,0.8,4,0.0,100.0
D4,impolite,0.8,5,30.0,40.0
D4,impolite,0.8,6,10.0,0.0
D4,impolite,0.8,7,10.0,20.0
D4,impolite,0.8,8,0.0,60.0
D4,impolite,0.8,9,10.0,0.0
D4,impolite,1.0,0,0.0,0.0
D4,impolite,1.0,1,0.0,0.0
D4,impolite,1.0,2,0.0,0.0
D4,impolite,1.0,3,0.0,0.0
D4,impolite,1.0,4,0.0,0.0
D4,impolite,1.0,5,0.0,0.0
D4,impolite,1.0,6,0.0,0.0
D4,impolite,1.0,7,0.0,0.0
D4,impolite,1.0,8,0.0,80.0
D4,impolite,1.0,9,0.0,0.0
B0,apathetic,0.0,0,100.0,0.0
B0,apathetic,0.0,1,95.0,0.0
B0,apathetic,0.0,2,100.0,0.0
B0,apathetic,0.0,3,90.0,0.0
B0,apathetic,0.0,4,90.0,0.0
B0,apathetic,0.0,5,100.0,0.0
B0,apathetic,0.0,6,100.0,0.0
B0,apathetic,0.0,7,100.0,0.0
B0,apathetic,0.0,8,100.0,0.0
B0,apathetic,0.0,9,100.0,0.0
B1,apathetic,0.05,0,100.0,0.0
B1,apathetic,0.05,1,90.0,0.0
B1,apathetic,0.05,2,100.0,0.0
B1,apathetic,0.05,3,100.0,0.0
B1,apathetic,0.05,4,90.0,0.0
B1,apathetic,0.05,5,100.0,0.0
B1,apathetic,0.05,6,100.0,0.0
B1,apathetic,0.05,7,70.0,0.0
B1,apathetic,0.05,8,90.0,0.0
B1,apathetic,0.05,9,100.0,0.0
B1,apathetic,0.1,0,100.0,0.0
B1,apathetic,0.1,1,85.0,0.0
B1,apathetic,0.1,2,100.0,0.0
B1,apathetic,0.1,3,100.0,0.0
B1,apathetic,0.1,4,100.0,0.0
B1,apathetic,0.1,5,100.0,0.0
B1,apathetic,0.1,6,100.0,0.0
B1,apathetic,0.1,7,100.0,0.0
B1,apathetic,0.1,8,100.0,0.0
B1,apathetic,0.1,9,90.0,0.0
B1,apathetic,0.15,0,100.0,0.0
B1,apathetic,0.15,1,70.0,0.0
B1,apathetic,0.15,2,100.0,0.0
B1,apathetic,0.15,3,100.0,0.0
B1,apathetic,0.15,4,100.0,0.0
B1,apathetic,0.15,5,100.0,0.0
B1,apathetic,0.15,6,100.0,0.0
B1,apathetic,0.15,7,85.0,0.0
B1,apathetic,0.15,8,100.0,0.0
B1,apathetic,0.15,9,100.0,0.0
B1,apathetic,0.2,0,100.0,0.0
B1,apathetic,0.2,1,85.0,0.0
B1,apathetic,0.2,2,100.0,0.0
B1,apathetic,0.2,3,100.0,0.0
B1,apathetic,0.2,4,90.0,0.0
B1,apathetic,0.2,5,100.0,0.0
B1,apathetic,0.2,6,100.0,0.0
B1,apathetic,0.2,7,100.0,0.0
B1,apathetic,0.2,8,85.0,0.0
B1,apathetic,0.2,9,90.0,0.0
B1,apathetic,0.4,0,40.0,80.0
B1,apathetic,0.4,1,80.0,20.0
B1,apathetic,0.4,2,100.0,70.0
B1,apathetic,0.4,3,50.0,85.0
B1,apathetic,0.4,4,50.0,85.0
B1,apathetic,0.4,5,70.0,20.0
B1,apathetic,0.4,6,60.0,70.0
B1,apathetic,0.4,7,85.0,85.0
B1,apathetic,0.4,8,40.0,85.0
B1,apathetic,0.4,9,60.0,10.0
B1,apathetic,0.6,0,40.0,85.0
B1,apathetic,0.6,1,30.0,70.0
B1,apathetic,0.6,2,50.0,85.0
B1,apathetic,0.6,3,100.0,85.0
B1,apathetic,0.6,4,70.0,90.0
B1,apathetic,0.6,5,100.0,85.0
B1,apathetic,0.6,6,30.0,100.0
B1,apathetic,0.6,7,60.0,85.0
B1,apathetic,0.6,8,30.0,100.0
B1,apathetic,0.6,9,40.0,70.0
B1,apathetic,0.8,0,20.0,100.0
B1,apathetic,0.8,1,60.0,85.0
B1,apathetic,0.8,2,60.0,100.0
B1,apathetic,0.8,3,20.0,100.0
B1,apathetic,0.8,4,50.0,100.0
B1,apathetic,0.8,5,100.0,80.0
B1,apathetic,0.8,6,50.0,100.0
B1,apathetic,0.8,7,100.0,85.0
B1,apathetic,0.8,8,50.0,90.0
B1,apathetic,0.8,9,10.0,0.0
B1,apathetic,1.0,0,10.0,100.0
B1,apathetic,1.0,1,0.0,0.0
B1,apathetic,1.0,2,50.0,100.0
B1,apathetic,1.0,3,0.0,0.0
B1,apathetic,1.0,4,10.0,100.0
B1,apathetic,1.0,5,100.0,90.0
B1,apathetic,1.0,6,100.0,90.0
B1,apathetic,1.0,7,10.0,100.0
B1,apathetic,1.0,8,70.0,85.0
B1,apathetic,1.0,9,50.0,80.0
D1,apathetic,0.05,0,100.0,0.0
D1,apathetic,0.05,1,100.0,0.0
D1,apathetic,0.05,2,100.0,0.0
D1,apathetic,0.05,3,100.0,0.0
D1,apathetic,0.05,4,100.0,0.0
D1,apathetic,0.05,5,100.0,0.0
D1,apathetic,0.05,6,100.0,0.0
D1,apathetic,0.05,7,100.0,0.0
D1,apathetic,0.05,8,100.0,0.0
D1,apathetic,0.05,9,100.0,0.0
D1,apathetic,0.1,0,100.0,0.0
D1,apathetic,0.1,1,85.0,0.0
D1,apathetic,0.1,2,100.0,0.0
D1,apathetic,0.1,3,95.0,0.0
D1,apathetic,0.1,4,100.0,0.0
D1,apathetic,0.1,5,100.0,0.0
D1,apathetic,0.1,6,100.0,0.0
D1,apathetic,0.1,7,90.0,0.0
D1,apathetic,0.1,8,100.0,0.0
D1,apathetic,0.1,9,85.0,0.0
D1,apathetic,0.15,0,100.0,0.0
D1,apathetic,0.15,1,60.0,0.0
D1,apathetic,0.15,2,100.0,0.0
D1,apathetic,0.15,3,100.0,0.0
D1,apathetic,0.15,4,90.0,0.0
D1,apathetic,0.15,5,95.0,0.0
D1,apathetic,0.15,6,85.0,0.0
D1,apathetic,0.15,7,90.0,0.0
D1,apathetic,0.15,8,100.0,0.0
D1,apathetic,0.15,9,100.0,0.0
D1,apathetic,0.2,0,100.0,0.0
D1,apathetic,0.2,1,70.0,0.0
D1,apathetic,0.2,2,100.0,0.0
D1,apathetic,0.2,3,95.0,0.0
D1,apathetic,0.2,4,90.0,0.0
D1,apathetic,0.2,5,90.0,0.0
D1,apathetic,0.2,6,65.0,0.0
D1,apathetic,0.2,7,70.0,0.0
D1,apathetic,0.2,8,90.0,0.0
D1,apathetic,0.2,9,100.0,0.0
D1,apathetic,0.4,0,65.0,85.0
D1,apathetic,0.4,1,30.0,85.0
D1,apathetic,0.4,2,40.0,85.0
D1,apathetic,0.4,3,90.0,85.0
D1,apathetic,0.4,4,40.0,85.0
D1,apathetic,0.4,5,60.0,70.0
D1,apathetic,0.4,6,50.0,70.0
D1,apathetic,0.4,7,85.0,85.0
D1,apathetic,0.4,8,40.0,85.0
D1,apathetic,0.4,9,50.0,20.0
D1,apathetic,0.6,0,10.0,100.0
D1,apathetic,0.6,1,50.0,100.0
D1,apathetic,0.6,2,40.0,85.0
D1,apathetic,0.6,3,50.0,85.0
D1,apathetic,0.6,4,0.0,100.0
D1,apathetic,0.6,5,30.0,85.0
D1,apathetic,0.6,6,30.0,100.0
D1,apathetic,0.6,7,40.0,85.0
D1,apathetic,0.6,8,40.0,100.0
D1,apathetic,0.6,9,100.0,90.0
D1,apathetic,0.8,0,0.0,100.0
D1,apathetic,0.8,1,0.0,100.0
D1,apathetic,0.8,2,0.0,100.0
D1,apathetic,0.8,3,10.0,100.0
D1,apathetic,0.8,4,0.0,100.0
D1,apathetic,0.8,5,20.0,80.0
D1,apathetic,0.8,6,20.0,100.0
D1,apathetic,0.8,7,0.0,100.0
D1,apathetic,0.8,8,10.0,0.0
D1,apathetic,0.8,9,20.0,100.0
D1,apathetic,1.0,0,0.0,100.0
D1,apathetic,1.0,1,0.0,100.0
D1,apathetic,1.0,2,0.0,100.0
D1,apathetic,1.0,3,0.0,100.0
D1,apathetic,1.0,4,0.0,100.0
D1,apathetic,1.0,5,0.0,100.0
D1,apathetic,1.0,6,0.0,100.0
D1,apathetic,1.0,7,0.0,100.0
D1,apathetic,1.0,8,0.0,0.0
D1,apathetic,1.0,9,0.0,0.0
D4,apathetic,0.05,0,100.0,0.0
D4,apathetic,0.05,1,100.0,0.0
D4,apathetic,0.05,2,100.0,0.0
D4,apathetic,0.05,3,95.0,0.0
D4,apathetic,0.05,4,100.0,0.0
D4,apathetic,0.05,5,100.0,0.0
D4,apathetic,0.05,6,100.0,0.0
D4,apathetic,0.05,7,85.0,0.0
D4,apathetic,0.05,8,90.0,0.0
D4,apathetic,0.05,9,100.0,0.0
D4,apathetic,0.1,0,100.0,0.0
D4,apathetic,0.1,1,85.0,10.0
D4,apathetic,0.1,2,100.0,0.0
D4,apathetic,0.1,3,90.0,0.0
D4,apathetic,0.1,4,90.0,0.0
D4,apathetic,0.1,5,100.0,0.0
D4,apathetic,0.1,6,100.0,0.0
D4,apathetic,0.1,7,95.0,0.0
D4,apathetic,0.1,8,90.0,0.0
D4,apathetic,0.1,9,100.0,0.0
D4,apathetic,0.15,0,100.0,0.0
D4,apathetic,0.15,1,75.0,0.0
D4,apathetic,0.15,2,100.0,0.0
D4,apathetic,0.15,3,95.0,0.0
D4,apathetic,0.15,4,100.0,0.0
D4,apathetic,0.15,5,100.0,0.0
D4,apathetic,0.15,6,100.0,0.0
D4,apathetic,0.15,7,85.0,0.0
D4,apathetic,0.15,8,90.0,0.0
D4,apathetic,0.15,9,90.0,0.0
D4,apathetic,0.2,0,100.0,0.0
D4,apathetic,0.2,1,65.0,0.0
D4,apathetic,0.2,2,100.0,0.0
D4,apathetic,0.2,3,100.0,0.0
D4,apathetic,0.2,4,90.0,0.0
D4,apathetic,0.2,5,100.0,0.0
D4,apathetic,0.2,6,100.0,0.0
D4,apathetic,0.2,7,70.0,10.0
D4,apathetic,0.2,8,65.0,0.0
D4,apathetic,0.2,9,85.0,0.0
D4,apathetic,0.4,0,60.0,70.0
D4,apathetic,0.4,1,70.0,60.0
D4,apathetic,0.4,2,60.0,85.0
D4,apathetic,0.4,3,40.0,85.0
D4,apathetic,0.4,4,40.0,90.0
D4,apathetic,0.4,5,60.0,40.0
D4,apathetic,0.4,6,85.0,0.0
D4,apathetic,0.4,7,85.0,85.0
D4,apathetic,0.4,8,45.0,70.0
D4,apathetic,0.4,9,75.0,0.0
D4,apathetic,0.6,0,20.0,100.0
D4,apathetic,0.6,1,20.0,100.0
D4,apathetic,0.6,2,10.0,100.0
D4,apathetic,0.6,3,40.0,90.0
D4,apathetic,0.6,4,50.0,100.0
D4,apathetic,0.6,5,60.0,85.0
D4,apathetic,0.6,6,40.0,90.0
D4,apathetic,0.6,7,10.0,100.0
D4,apathetic,0.6,8,20.0,100.0
D4,apathetic,0.6,9,10.0,100.0
D4,apathetic,0.8,0,10.0,0.0
D4,apathetic,0.8,1,0.0,100.0
D4,apathetic,0.8,2,0.0,100.0
D4,apathetic,0.8,3,10.0,0.0
D4,apathetic,0.8,4,0.0,100.0
D4,apathetic,0.8,5,30.0,85.0
D4,apathetic,0.8,6,20.0,100.0
D4,apathetic,0.8,7,10.0,100.0
D4,apathetic,0.8,8,10.0,100.0
D4,apathetic,0.8,9,10.0,100.0
D4,apathetic,1.0,0,0.0,0.0
D4,apathetic,1.0,1,0.0,100.0
D4,apathetic,1.0,2,0.0,100.0
D4,apathetic,1.0,3,0.0,100.0
D4,apathetic,1.0,4,0.0,100.0
D4,apathetic,1.0,5,0.0,100.0
D4,apathetic,1.0,6,0.0,100.0
D4,apathetic,1.0,7,0.0,100.0
D4,apathetic,1.0,8,0.0,0.0
D4,apathetic,1.0,9,0.0,0.0
B0,optimistic,0.0,0,90.0,0.0
B0,optimistic,0.0,1,100.0,0.0
B0,optimistic,0.0,2,100.0,0.0
B0,optimistic,0.0,3,100.0,30.0
B0,optimistic,0.0,4,100.0,60.0
B0,optimistic,0.0,5,100.0,20.0
B0,optimistic,0.0,6,90.0,0.0
B0,optimistic,0.0,7,100.0,10.0
B0,optimistic,0.0,8,100.0,30.0
B0,optimistic,0.0,9,100.0,0.0
B1,optimistic,0.05,0,95.0,10.0
B1,optimistic,0.05,1,100.0,10.0
B1,optimistic,0.05,2,100.0,0.0
B1,optimistic,0.05,3,100.0,30.0
B1,optimistic,0.05,4,90.0,60.0
B1,optimistic,0.05,5,100.0,20.0
B1,optimistic,0.05,6,90.0,0.0
B1,optimistic,0.05,7,100.0,40.0
B1,optimistic,0.05,8,100.0,60.0
B1,optimistic,0.05,9,100.0,0.0
B1,optimistic,0.1,0,100.0,10.0
B1,optimistic,0.1,1,90.0,10.0
B1,optimistic,0.1,2,90.0,10.0
B1,optimistic,0.1,3,100.0,40.0
B1,optimistic,0.1,4,100.0,70.0
B1,optimistic,0.1,5,100.0,30.0
B1,optimistic,0.1,6,100.0,60.0
B1,optimistic,0.1,7,100.0,30.0
B1,optimistic,0.1,8,100.0,90.0
B1,optimistic,0.1,9,100.0,0.0
B1,optimistic,0.15,0,90.0,30.0
B1,optimistic,0.15,1,100.0,10.0
B1,optimistic,0.15,2,90.0,10.0
B1,optimistic,0.15,3,85.0,70.0
B1,optimistic,0.15,4,100.0,85.0
B1,optimistic,0.15,5,100.0,20.0
B1,optimistic,0.15,6,100.0,10.0
B1,optimistic,0.15,7,100.0,60.0
B1,optimistic,0.15,8,100.0,30.0
B1,optimistic,0.15,9,100.0,30.0
B1,optimistic,0.2,0,90.0,65.0
B1,optimistic,0.2,1,95.0,0.0
B1,optimistic,0.2,2,100.0,80.0
B1,optimistic,0.2,3,90.0,85.0
B1,optimistic,0.2,4,100.0,75.0
B1,optimistic,0.2,5,90.0,30.0
B1,optimistic,0.2,6,100.0,70.0
B1,optimistic,0.2,7,100.0,60.0
B1,optimistic,0.2,8,90.0,100.0
B1,optimistic,0.2,9,100.0,40.0
B1,optimistic,0.4,0,90.0,90.0
B1,optimistic,0.4,1,90.0,85.0
B1,optimistic,0.4,2,90.0,100.0
B1,optimistic,0.4,3,90.0,90.0
B1,optimistic,0.4,4,85.0,90.0
B1,optimistic,0.4,5,100.0,85.0
B1,optimistic,0.4,6,95.0,100.0
B1,optimistic,0.4,7,100.0,85.0
B1,optimistic,0.4,8,100.0,100.0
B1,optimistic,0.4,9,100.0,100.0
B1,optimistic,0.6,0,60.0,100.0
B1,optimistic,0.6,1,40.0,90.0
B1,optimistic,0.6,2,85.0,100.0
B1,optimistic,0.6,3,50.0,100.0
B1,optimistic,0.6,4,100.0,90.0
B1,optimistic,0.6,5,85.0,90.0
B1,optimistic,0.6,6,90.0,100.0
B1,optimistic,0.6,7,90.0,100.0
B1,optimistic,0.6,8,85.0,100.0
B1,optimistic,0.6,9,85.0,90.0
B1,optimistic,0.8,0,50.0,90.0
B1,optimistic,0.8,1,60.0,90.0
B1,optimistic,0.8,2,85.0,100.0
B1,optimistic,0.8,3,40.0,90.0
B1,optimistic,0.8,4,60.0,100.0
B1,optimistic,0.8,5,70.0,100.0
B1,optimistic,0.8,6,85.0,100.0
B1,optimistic,0.8,7,40.0,90.0
B1,optimistic,0.8,8,60.0,100.0
B1,optimistic,0.8,9,90.0,100.0
B1,optimistic,1.0,0,40.0,90.0
B1,optimistic,1.0,1,40.0,90.0
B1,optimistic,1.0,2,50.0,100.0
B1,optimistic,1.0,3,40.0,100.0
B1,optimistic,1.0,4,50.0,100.0
B1,optimistic,1.0,5,40.0,90.0
B1,optimistic,1.0,6,60.0,100.0
B1,optimistic,1.0,7,40.0,100.0
B1,optimistic,1.0,8,70.0,100.0
B1,optimistic,1.0,9,40.0,90.0
D1,optimistic,0.05,0,100.0,0.0
D1,optimistic,0.05,1,100.0,0.0
D1,optimistic,0.05,2,100.0,0.0
D1,optimistic,0.05,3,90.0,30.0
D1,optimistic,0.05,4,100.0,60.0
D1,optimistic,0.05,5,100.0,30.0
D1,optimistic,0.05,6,100.0,0.0
D1,optimistic,0.05,7,100.0,0.0
D1,optimistic,0.05,8,100.0,20.0
D1,optimistic,0.05,9,100.0,0.0
D1,optimistic,0.1,0,100.0,0.0
D1,optimistic,0.1,1,100.0,10.0
D1,optimistic,0.1,2,100.0,0.0
D1,optimistic,0.1,3,100.0,40.0
D1,optimistic,0.1,4,100.0,75.0
D1,optimistic,0.1,5,100.0,20.0
D1,optimistic,0.1,6,100.0,60.0
D1,optimistic,0.1,7,100.0,0.0
D1,optimistic,0.1,8,100.0,30.0
D1,optimistic,0.1,9,100.0,0.0
D1,optimistic,0.15,0,100.0,0.0
D1,optimistic,0.15,1,100.0,10.0
D1,optimistic,0.15,2,100.0,85.0
D1,optimistic,0.15,3,100.0,40.0
D1,optimistic,0.15,4,100.0,80.0
D1,optimistic,0.15,5,100.0,40.0
D1,optimistic,0.15,6,100.0,0.0
D1,optimistic,0.15,7,95.0,60.0
D1,optimistic,0.15,8,100.0,85.0
D1,optimistic,0.15,9,90.0,30.0
D1,optimistic,0.2,0,85.0,40.0
D1,optimistic,0.2,1,100.0,30.0
D1,optimistic,0.2,2,90.0,85.0
D1,optimistic,0.2,3,100.0,85.0
D1,optimistic,0.2,4,100.0,70.0
D1,optimistic,0.2,5,100.0,60.0
D1,optimistic,0.2,6,100.0,100.0
D1,optimistic,0.2,7,100.0,80.0
D1,optimistic,0.2,8,100.0,85.0
D1,optimistic,0.2,9,100.0,30.0
D1,optimistic,0.4,0,75.0,85.0
D1,optimistic,0.4,1,100.0,60.0
D1,optimistic,0.4,2,100.0,90.0
D1,optimistic,0.4,3,65.0,90.0
D1,optimistic,0.4,4,85.0,95.0
D1,optimistic,0.4,5,100.0,100.0
D1,optimistic,0.4,6,100.0,100.0
D1,optimistic,0.4,7,85.0,90.0
D1,optimistic,0.4,8,90.0,85.0
D1,optimistic,0.4,9,75.0,85.0
D1,optimistic,0.6,0,50.0,100.0
D1,optimistic,0.6,1,50.0,100.0
D1,optimistic,0.6,2,60.0,100.0
D1,optimistic,0.6,3,40.0,90.0
D1,optimistic,0.6,4,70.0,90.0
D1,optimistic,0.6,5,85.0,90.0
D1,optimistic,0.6,6,50.0,100.0
D1,optimistic,0.6,7,40.0,85.0
D1,optimistic,0.6,8,60.0,100.0
D1,optimistic,0.6,9,50.0,90.0
D1,optimistic,0.8,0,40.0,100.0
D1,optimistic,0.8,1,40.0,100.0
D1,optimistic,0.8,2,40.0,90.0
D1,optimistic,0.8,3,40.0,100.0
D1,optimistic,0.8,4,60.0,90.0
D1,optimistic,0.8,5,40.0,90.0
D1,optimistic,0.8,6,60.0,100.0
D1,optimistic,0.8,7,50.0,100.0
D1,optimistic,0.8,8,50.0,100.0
D1,optimistic,0.8,9,50.0,90.0
D1,optimistic,1.0,0,30.0,100.0
D1,optimistic,1.0,1,30.0,85.0
D1,optimistic,1.0,2,40.0,100.0
D1,optimistic,1.0,3,30.0,90.0
D1,optimistic,1.0,4,40.0,100.0
D1,optimistic,1.0,5,40.0,100.0
D1,optimistic,1.0,6,30.0,100.0
D1,optimistic,1.0,7,30.0,100.0
D1,optimistic,1.0,8,40.0,100.0
D1,optimistic,1.0,9,30.0,90.0
D4,optimistic,0.05,0,100.0,0.0
D4,optimistic,0.05,1,95.0,10.0
D4,optimistic,0.05,2,100.0,0.0
D4,optimistic,0.05,3,100.0,30.0
D4,optimistic,0.05,4,100.0,80.0
D4,optimistic,0.05,5,100.0,10.0
D4,optimistic,0.05,6,100.0,20.0
D4,optimistic,0.05,7,100.0,10.0
D4,optimistic,0.05,8,100.0,70.0
D4,optimistic,0.05,9,100.0,0.0
D4,optimistic,0.1,0,100.0,10.0
D4,optimistic,0.1,1,100.0,20.0
D4,optimistic,0.1,2,100.0,0.0
D4,optimistic,0.1,3,100.0,30.0
D4,optimistic,0.1,4,100.0,85.0
D4,optimistic,0.1,5,100.0,40.0
D4,optimistic,0.1,6,100.0,60.0
D4,optimistic,0.1,7,100.0,10.0
D4,optimistic,0.1,8,100.0,85.0
D4,optimistic,0.1,9,100.0,0.0
D4,optimistic,0.15,0,100.0,10.0
D4,optimistic,0.15,1,95.0,10.0
D4,optimistic,0.15,2,100.0,0.0
D4,optimistic,0.15,3,90.0,60.0
D4,optimistic,0.15,4,100.0,85.0
D4,optimistic,0.15,5,90.0,60.0
D4,optimistic,0.15,6,100.0,70.0
D4,optimistic,0.15,7,85.0,60.0
D4,optimistic,0.15,8,100.0,40.0
D4,optimistic,0.15,9,85.0,60.0
D4,optimistic,0.2,0,100.0,65.0
D4,optimistic,0.2,1,100.0,30.0
D4,optimistic,0.2,2,100.0,80.0
D4,optimistic,0.2,3,90.0,70.0
D4,optimistic,0.2,4,100.0,85.0
D4,optimistic,0.2,5,100.0,20.0
D4,optimistic,0.2,6,90.0,85.0
D4,optimistic,0.2,7,100.0,85.0
D4,optimistic,0.2,8,100.0,90.0
D4,optimistic,0.2,9,100.0,30.0
D4,optimistic,0.4,0,85.0,90.0
D4,optimistic,0.4,1,85.0,20.0
D4,optimistic,0.4,2,90.0,85.0
D4,optimistic,0.4,3,60.0,100.0
D4,optimistic,0.4,4,100.0,90.0
D4,optimistic,0.4,5,60.0,90.0
D4,optimistic,0.4,6,90.0,100.0
D4,optimistic,0.4,7,100.0,100.0
D4,optimistic,0.4,8,90.0,85.0
D4,optimistic,0.4,9,85.0,85.0
D4,optimistic,0.6,0,50.0,90.0
D4,optimistic,0.6,1,20.0,70.0
D4,optimistic,0.6,2,60.0,90.0
D4,optimistic,0.6,3,40.0,85.0
D4,optimistic,0.6,4,60.0,90.0
D4,optimistic,0.6,5,60.0,85.0
D4,optimistic,0.6,6,50.0,100.0
D4,optimistic,0.6,7,65.0,90.0
D4,optimistic,0.6,8,85.0,100.0
D4,optimistic,0.6,9,50.0,85.0
D4,optimistic,0.8,0,40.0,100.0
D4,optimistic,0.8,1,40.0,85.0
D4,optimistic,0.8,2,50.0,90.0
D4,optimistic,0.8,3,30.0,90.0
D4,optimistic,0.8,4,40.0,90.0
D4,optimistic,0.8,5,60.0,90.0
D4,optimistic,0.8,6,60.0,100.0
D4,optimistic,0.8,7,40.0,90.0
D4,optimistic,0.8,8,60.0,90.0
D4,optimistic,0.8,9,40.0,100.0
D4,optimistic,1.0,0,30.0,90.0
D4,optimistic,1.0,1,10.0,70.0
D4,optimistic,1.0,2,40.0,100.0
D4,optimistic,1.0,3,20.0,85.0
D4,optimistic,1.0,4,30.0,85.0
D4,optimistic,1.0,5,30.0,70.0
D4,optimistic,1.0,6,40.0,90.0
D4,optimistic,1.0,7,20.0,85.0
D4,optimistic,1.0,8,30.0,85.0
D4,optimistic,1.0,9,30.0,90.0
B0,humorous,0.0,0,100.0,0.0
B0,humorous,0.0,1,90.0,0.0
B0,humorous,0.0,2,90.0,10.0
B0,humorous,0.0,3,100.0,0.0
B0,humorous,0.0,4,100.0,0.0
B0,humorous,0.0,5,100.0,0.0
B0,humorous,0.0,6,100.0,0.0
B0,humorous,0.0,7,100.0,0.0
B0,humorous,0.0,8,90.0,0.0
B0,humorous,0.0,9,100.0,0.0
B1,humorous,0.05,0,100.0,0.0
B1,humorous,0.05,1,85.0,0.0
B1,humorous,0.05,2,100.0,0.0
B1,humorous,0.05,3,100.0,0.0
B1,humorous,0.05,4,100.0,0.0
B1,humorous,0.05,5,100.0,0.0
B1,humorous,0.05,6,100.0,0.0
B1,humorous,0.05,7,100.0,0.0
B1,humorous,0.05,8,90.0,20.0
B1,humorous,0.05,9,100.0,0.0
B1,humorous,0.1,0,90.0,0.0
B1,humorous,0.1,1,100.0,0.0
B1,humorous,0.1,2,100.0,0.0
B1,humorous,0.1,3,100.0,0.0
B1,humorous,0.1,4,100.0,0.0
B1,humorous,0.1,5,100.0,20.0
B1,humorous,0.1,6,100.0,0.0
B1,humorous,0.1,7,100.0,0.0
B1,humorous,0.1,8,100.0,10.0
B1,humorous,0.1,9,100.0,0.0
B1,humorous,0.15,0,100.0,10.0
B1,humorous,0.15,1,100.0,0.0
B1,humorous,0.15,2,85.0,30.0
B1,humorous,0.15,3,100.0,0.0
B1,humorous,0.15,4,85.0,10.0
B1,humorous,0.15,5,100.0,20.0
B1,humorous,0.15,6,100.0,10.0
B1,humorous,0.15,7,100.0,0.0
B1,humorous,0.15,8,85.0,30.0
B1,humorous,0.15,9,100.0,0.0
B1,humorous,0.2,0,100.0,30.0
B1,humorous,0.2,1,100.0,30.0
B1,humorous,0.2,2,90.0,10.0
